mass,ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel_cost,grid_cost,fuelflow,absolute_ts,aircraft,stage,case
62399.99990143619,0.0,-289777.7477995934,-77645.71346982282,10923.253784418292,50.22991302142447,2.924285498132515,35837.0,0.764548,439.0263,-0.0,75.0,61.39022100174043,,0.7104291608893045,0.0,AC0,free,pair_a030_horizontal
62338.60968043445,86.2788,-270955.0737456703,-72602.19316012143,10923.253784102206,50.28421464809012,3.184900697472375,35837.0,0.768414,441.246,-0.0,75.0,61.53796892453829,,0.7116698929118078,86.2788,AC0,free,pair_a030_horizontal
62277.07171150991,172.5575,-252037.23422816506,-67533.17334131816,10923.25378384768,50.33820238935927,3.4474301867400454,35837.0,0.77188,443.2365,-0.0,75.0,61.67965564638871,,0.7127902499331236,172.5575,AC0,free,pair_a030_horizontal
62215.39205586352,258.8363,-233034.05463586783,-62441.28671840349,10923.25378364442,50.39183727184957,3.7117421172397016,35837.0,0.775048,445.0554,-0.0,75.0,61.81777542187774,,0.7138204032509985,258.8363,AC0,free,pair_a030_horizontal
62153.574280441644,345.115,-213952.89113461084,-57328.504370070485,10923.25378348078,50.44508831809387,3.9777376921965573,35837.0,0.777981,446.7397,-0.0,75.0,61.953910078897025,,0.7147797650817609,345.115,AC0,free,pair_a030_horizontal
62091.62037036275,431.3938,-194799.5165800836,-52196.3731283385,10923.253783344904,50.497929747637386,4.245339164011494,35837.0,0.780724,448.3147,-0.0,75.0,62.089134738715074,,0.7156815800098648,431.3938,AC0,free,pair_a030_horizontal
62029.53123562403,517.6726,-175578.61646852642,-47046.148468140615,10923.25378322547,50.550339396521984,4.514483130833224,35837.0,0.783308,449.7987,-0.0,75.0,62.22421812192624,,0.7165354419033875,517.6726,AC0,free,pair_a030_horizontal
61967.307017502106,603.9513,-156294.09127636984,-41878.87551898607,10923.253783112057,50.60229774570975,4.78511645957877,35837.0,0.785758,451.2055,-0.0,75.0,62.359731579359504,,0.7173486182953023,603.9513,AC0,free,pair_a030_horizontal
61904.947285922746,690.2301,-136949.2527611893,-36695.44166364221,10923.25378299528,50.65378728520774,5.057193644916125,35837.0,0.788092,452.5455,-0.0,75.0,62.49610314400343,,0.7181264823489378,690.2301,AC0,free,pair_a030_horizontal
61842.45118277874,776.5088,-117546.96081368318,-31496.61320751178,10923.253782866776,50.704792069374264,5.330674970081528,35837.0,0.788216,452.617,-0.0,75.0,62.46267528431781,,0.7177201316145091,776.5088,AC0,free,pair_a030_horizontal
61779.988507494425,862.7876,-98141.60336509279,-26296.963352841827,10923.253782724594,50.75516358685221,5.60479152795526,35837.0,0.788181,452.5967,-0.0,75.0,62.41666448137403,,0.717227736506718,862.7876,AC0,free,pair_a030_horizontal
