mass,ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel_cost,grid_cost,fuelflow,absolute_ts,aircraft,stage,case
62399.999901438845,0.0,3.6739403974420996e-11,-299999.99991248635,10923.253768727602,48.30203518303083,7.000000000000001,35837.0,0.764548,439.0263,-0.0,360.0,61.39022142525209,,0.7104291608893264,0.0,AC0,free,pair_a180_horizontal
62338.60968001359,86.2788,3.554618979869619e-11,-280513.3336147835,10923.253768411883,48.47728298331936,7.000000000000001,35837.0,0.768414,441.246,-0.0,360.0,61.53796933333069,,0.7116698929084216,86.2788,AC0,free,pair_a180_horizontal
62277.07171068026,172.5575,3.434694285872577e-11,-260928.14480025313,10923.253768157732,48.65341681788841,7.000000000000001,35837.0,0.77188,443.2365,-0.0,360.0,61.679656046122545,,0.7127902499265155,172.5575,AC0,free,pair_a180_horizontal
62215.39205463414,258.8363,3.3142286008971713e-11,-241254.60545419194,10923.253767954815,48.83034520787647,7.000000000000001,35837.0,0.775048,445.0554,-0.0,360.0,61.8177758159145,,0.7138204032412974,258.8363,AC0,free,pair_a180_horizontal
62153.574278818225,345.115,3.1932685574102e-11,-221500.3312363687,10923.253767791466,49.00799966400979,7.0,35837.0,0.777981,446.7397,-0.0,360.0,61.953910469332186,,0.7147797650690623,345.115,AC0,free,pair_a180_horizontal
62091.62036834889,431.3938,3.071850750905329e-11,-201671.298644443,10923.25376765583,49.18632643835364,7.0,35837.0,0.780724,448.3147,-0.0,360.0,62.08913512710569,,0.7156815799942406,431.3938,AC0,free,pair_a180_horizontal
62029.53123322179,517.6726,2.9500048838497836e-11,-181772.3584594307,10923.253767536606,49.3652819067863,7.0,35837.0,0.783308,449.7987,-0.0,360.0,62.22421850923274,,0.7165354418848937,517.6726,AC0,free,pair_a180_horizontal
61967.307014712555,603.9513,2.8277556822859417e-11,-161807.5487504933,10923.253767423403,49.54482975407932,7.0,35837.0,0.785758,451.2055,-0.0,360.0,62.35973196602572,,0.717348618273985,603.9513,AC0,free,pair_a180_horizontal
61904.94728274653,690.2301,2.705124140229471e-11,-141780.29810057906,10923.253767306833,49.72493914624551,7.0,35837.0,0.788091,452.5455,-0.0,360.0,62.496097989424015,,0.7181264823248373,690.2301,AC0,free,pair_a180_horizontal
61842.451184757105,776.5088,2.5821283981329447e-11,-121693.56907041628,10923.253767178558,49.905583440336116,7.0,35837.0,0.788216,452.617,-0.0,360.0,62.46267538208485,,0.717720131629502,776.5088,AC0,free,pair_a180_horizontal
61779.98850937502,862.7876,2.4591132127438906e-11,-101603.6647096135,10923.253767036627,50.08625629086122,7.0,35837.0,0.788181,452.5967,-0.0,360.0,62.41666458003601,,0.7172277365209582,862.7876,AC0,free,pair_a180_horizontal
61717.571844794984,949.0664,2.33610354662461e-11,-81514.66171396777,10923.253766881078,50.26692103521472,7.0,35837.0,0.788145,452.5763,-0.0,360.0,62.37072063283995,,0.7167359486566,949.0664,AC0,free,pair_a180_horizontal
61655.201124162144,1035.3451,2.2130994233165772e-11,-61426.563928093594,10923.25376671206,50.44757763882117,7.000000000000001,35837.0,0.78811,452.5559,-0.0,360.0,62.32484356754139,,0.7162448616055326,1035.3451,AC0,free,pair_a180_horizontal
61592.8762805946,1121.6239,2.0901008660310466e-11,-41339.3751426764,10923.253766529746,50.62822606759011,7.0,35837.0,0.788074,452.5353,-0.0,360.0,62.27903322279599,,0.7157542834710059,1121.6239,AC0,free,pair_a180_horizontal
61530.59724737181,1207.9026,1.9671078980206955e-11,-21253.099155166517,10923.253766334336,50.80886628737025,7.0,35837.0,0.788038,452.5147,-0.0,360.0,62.23328940747888,,0.7152644032429702,1207.9026,AC0,free,pair_a180_horizontal
61468.36395796433,1294.1814,1.844120542638816e-11,-1167.739779446192,10923.253766126016,50.98949826386254,7.0,35837.0,0.788002,452.4939,-0.0,360.0,62.187611922265205,,0.7147750282595838,1294.1814,AC0,free,pair_a180_horizontal
61406.17634604206,1380.4602,1.7211388233565814e-11,18916.69915135124,10923.25376590501,51.170121962594756,7.0,35837.0,0.787965,452.4731,-0.0,360.0,62.14200056443951,,0.7142863482924621,1380.4602,AC0,free,pair_a180_horizontal
61344.03434547762,1466.7389,1.598162763770114e-11,39000.2137836867,10923.253765671529,51.350737348911196,7.0,35837.0,0.787929,452.4522,-0.0,360.0,62.096455130013055,,0.7137982661025924,1466.7389,AC0,free,pair_a180_horizontal
61281.93789034761,1553.0177,1.4751923876042187e-11,59082.80024300517,10923.2537654258,51.531344387967145,7.0,35837.0,0.787892,452.4312,-0.0,360.0,62.05097541400755,,0.7133107800630164,1553.0177,AC0,free,pair_a180_horizontal
61219.8869149336,1639.2964,1.3522277187148138e-11,79164.45463333986,10923.253765168061,51.71194304472536,7.0,35837.0,0.787856,452.4101,-0.0,360.0,62.00556121102272,,0.7128238885514471,1639.2964,AC0,free,pair_a180_horizontal
61157.88135372258,1725.5752,1.2292687810907654e-11,99245.17303701137,10923.253764898553,51.89253328395328,7.0,35837.0,0.787819,452.3889,-0.0,360.0,61.960212315309036,,0.7123375899502661,1725.5752,AC0,free,pair_a180_horizontal
61095.92114140727,1811.854,1.1063155988554492e-11,119324.95151437366,10923.25376461752,52.07311507022081,7.0,35837.0,0.787782,452.3677,-0.0,360.0,61.914928520753165,,0.7118519795943922,1811.854,AC0,free,pair_a180_horizontal
61034.00621288652,1898.1327,9.833681962681583e-12,139403.78610358346,10923.253764325214,52.25368836789826,7.0,35837.0,0.787745,452.3463,-0.0,360.0,61.86970962103078,,0.7113668621696138,1898.1327,AC0,free,pair_a180_horizontal
60972.13650326549,1984.4115,8.604265977254364e-12,159481.6728203828,10923.253764021878,52.43425314115433,7.0,35837.0,0.787707,452.3248,-0.0,360.0,61.82455540959927,,0.7108823328298913,1984.4115,AC0,free,pair_a180_horizontal
60910.31194785589,2070.6902,7.374908277623675e-12,179558.60765788826,10923.253763707753,52.61480935395424,7.0,35837.0,0.78767,452.3033,-0.0,360.0,61.779465679654095,,0.7103984874925152,2070.6902,AC0,free,pair_a180_horizontal
60848.53248217623,2156.969,6.14560911053843e-12,199634.58658638445,10923.253763383089,52.79535697005789,7.0,35837.0,0.787632,452.2817,-0.0,360.0,61.73444022421609,,0.709915227424146,2156.969,AC0,free,pair_a180_horizontal
