mass,ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel_cost,grid_cost,fuelflow,absolute_ts,aircraft,stage,case
62399.999955402716,-0.0,3.673940397442139e-11,-299999.99999563204,10923.117662255245,48.30203518228309,7.000000000000001,35837.0,0.764607,439.061,-262.0,360.0,55.320212095313764,,0.6371698528567832,0.0,AC0,free,pair_a180_both
62344.6797433074,86.4604,3.554257884684042e-11,-280454.36237347365,10807.896406276936,48.47781332443375,7.000000000000001,35459.0,0.791173,455.0984,170.0,360.0,67.29618254149682,,0.7723697352043412,86.4604,AC0,free,pair_a180_both
62277.383560765906,172.9208,3.4303784569550145e-11,-260223.3165219724,10882.549258447752,48.65975549087962,7.000000000000001,35704.0,0.783389,450.119,3.0,360.0,62.70625969058892,,0.7206047616811921,172.9208,AC0,free,pair_a180_both
62214.67730107532,259.3812,3.307786347021021e-11,-240202.50562081134,10883.893522778433,48.8398069689939,7.000000000000001,35708.0,0.785477,451.3097,36.0,360.0,63.56671887626726,,0.7300702651827046,259.3812,AC0,free,pair_a180_both
62151.11058219905,345.8416,3.184883358652999e-11,-220130.92441849248,10899.865737341794,49.02031503539587,7.0,35761.0,0.784176,450.4544,15.0,360.0,62.89271859845758,,0.7227186452193,345.8416,AC0,free,pair_a180_both
62088.21786360059,432.302,3.0622043655903965e-11,-200095.9244256412,10906.274246050623,49.200494119077405,7.0,35782.0,0.785093,450.9382,28.0,360.0,63.203676341647224,,0.7259997747762724,432.302,AC0,free,pair_a180_both
62025.014187258945,518.7624,2.9393989443653336e-11,-180040.27714696885,10918.587640302674,49.38085888826136,7.0,35822.0,0.784625,450.5866,20.0,360.0,62.91524010821013,,0.7227187468916249,518.7624,AC0,free,pair_a180_both
61962.098947150735,605.2228,2.8166859188187636e-11,-159999.7192277028,10927.43429232289,49.561087955575964,7.0,35851.0,0.784972,450.7258,24.0,360.0,62.967150444193976,,0.7231984178031499,605.2228,AC0,free,pair_a180_both
61899.13179670654,691.6832,2.693936445946505e-11,-139953.20900844093,10938.091944606416,49.7413705532105,7.0,35886.0,0.78489,450.6068,23.0,360.0,62.858445197183755,,0.7220531719204608,691.6832,AC0,free,pair_a180_both
61836.27335150936,778.1436,2.571218539751293e-11,-119911.85401876335,10948.135693431828,49.92160678875153,7.0,35919.0,0.784955,450.5768,22.0,360.0,62.77679933472973,,0.7210059578022762,778.1436,AC0,free,pair_a180_both
61773.49655217463,864.604,2.44850814036786e-11,-99871.72498448516,10957.848114573047,50.10183199901079,7.0,35951.0,0.785107,450.5983,26.0,360.0,62.80002381939266,,0.7213533128052347,864.604,AC0,free,pair_a180_both
61710.696528355234,951.0644,2.3257927200500016e-11,-79830.77596938827,10969.127231534136,50.28206458353471,7.0,35988.0,0.784898,450.4023,19.0,360.0,62.56718785799603,,0.7185204586947391,951.0644,AC0,free,pair_a180_both
61648.12934049724,1037.5248,2.203127113802286e-11,-59797.962209318,10977.569624199516,50.462224005952486,7.000000000000001,36016.0,0.785396,450.6311,33.0,360.0,62.845950798422564,,0.7217589863085411,1037.5248,AC0,free,pair_a180_both
61585.283389698816,1123.9852,2.080402443611077e-11,-39755.50257526422,10991.987461753622,50.642470175799076,7.0,36063.0,0.784567,450.058,27.0,360.0,62.58516577030241,,0.718783938367222,1123.9852,AC0,free,pair_a180_both
61522.69822392851,1210.4457,1.9578249663525677e-11,-19737.081371360502,11004.015891846142,50.8225001628496,7.0,36102.0,0.784147,449.763,26.0,360.0,62.439105569399544,,0.7174374885533296,1210.4457,AC0,free,pair_a180_both
61460.259118359114,1296.9061,1.835321521365537e-11,269.24944508971004,11015.247080513478,51.00242141843351,7.0,36139.0,0.783614,449.4573,21.0,360.0,62.231398234413064,,0.7149879732383592,1296.9061,AC0,free,pair_a180_both
61398.0277201247,1383.3665,1.7129044790259397e-11,20261.469638380386,11024.596072443626,51.18221577413462,7.0,36170.0,0.783663,449.4856,22.0,360.0,62.187757748455624,,0.7144958356390044,1383.3665,AC0,free,pair_a180_both
61335.839962376245,1469.8269,1.590481119572887e-11,40254.72149458981,11034.353985250185,51.36201940780327,7.0,36202.0,0.783649,449.4773,22.0,360.0,62.1105769704518,,0.7136956025845707,1469.8269,AC0,free,pair_a180_both
61273.72938540579,1556.2873,1.4680608008149732e-11,60247.47676759785,11043.964642688068,51.54181857559188,7.0,36233.0,0.783701,449.5072,22.0,360.0,62.04977978077659,,0.7129391660964948,1556.2873,AC0,free,pair_a180_both
61211.67960562502,1642.7477,1.3456328588711587e-11,80241.47700134171,11053.64471409256,51.72162893958137,7.0,36265.0,0.783747,449.5335,22.0,360.0,61.98449485901074,,0.712170909244299,1642.7477,AC0,free,pair_a180_both
61149.695110766006,1729.2081,1.223198109261525e-11,100236.58901128486,11063.31465208544,51.90144930201445,7.0,36297.0,0.783802,449.565,22.0,360.0,61.92050516942254,,0.711408030823066,1729.2081,AC0,free,pair_a180_both
61087.77460559658,1815.6685,1.100755029637147e-11,120233.0614158743,11072.9839349494,52.08128189877049,7.0,36329.0,0.78386,449.5983,22.0,360.0,61.858187598510995,,0.7106475587032163,1815.6685,AC0,free,pair_a180_both
61025.91641799807,1902.1289,9.783030827201315e-12,140230.9819592483,11082.67871424739,52.26112751895152,7.0,36360.0,0.783912,449.6279,22.0,360.0,61.78960362343787,,0.7098941736060188,1902.1289,AC0,free,pair_a180_both
60964.126814374635,1988.5893,8.558432082456618e-12,160230.19717100495,11092.283812823684,52.440984782365035,7.0,36392.0,0.783988,449.6718,22.0,360.0,61.74095667992515,,0.7091445050290921,1988.5893,AC0,free,pair_a180_both
