mass,ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel_cost,grid_cost,fuelflow,absolute_ts,aircraft,stage,case
62399.99990122928,0.0,-289777.7478090183,-77645.71350600664,10923.117699031749,50.229913021094994,2.924285498028125,35837.0,0.764607,439.061,-262.0,75.0,55.32020689791534,,0.6371698524753469,0.0,AC0,free,pair_a030_both
62344.67969433137,86.4604,-270898.11132636474,-72586.93015734243,10807.896341204705,50.28437809388375,3.1856902891227556,35459.0,0.791173,455.0985,170.0,75.0,67.29624357016291,,0.7723698240174206,86.4604,AC0,free,pair_a030_both
62277.383450761205,172.9208,-251356.41862730638,-67350.74938015753,10882.55019263862,50.34013427286238,3.4568892033684064,35704.0,0.783389,450.119,3.0,75.0,62.706203445777646,,0.7206047608357199,172.9208,AC0,free,pair_a030_both
62214.67724731543,259.3812,-232017.80371850025,-62168.98313286864,10883.893603762886,50.39468866880231,3.7258937821201523,35708.0,0.785477,451.3098,36.0,75.0,63.56675711647404,,0.7300703558285102,259.3812,AC0,free,pair_a030_both
62151.11049019895,345.8416,-212630.1424676693,-56974.074957843244,10899.866409815542,50.44875730442031,3.996199232696034,35761.0,0.784175,450.4544,15.0,75.0,62.892695167094644,,0.7227186445086199,345.8416,AC0,free,pair_a030_both
62088.21779503186,432.302,-193277.8201171577,-51788.63581261928,10906.274582150496,50.50210156083132,4.266625166412473,35782.0,0.785093,450.9382,28.0,75.0,63.20368771554786,,0.7259997742442952,432.302,AC0,free,pair_a030_both
62025.01410731631,518.7624,-173905.55156511307,-46597.85209880277,10918.5881583684,50.55487196804104,4.537938750685326,35822.0,0.784625,450.5866,20.0,75.0,62.91523320277338,,0.7227187462725083,518.7624,AC0,free,pair_a030_both
61962.09887411354,605.2228,-154547.8595772958,-41410.97416359919,10927.434724277864,50.606971635006595,4.809651992698046,35851.0,0.784972,450.7259,24.0,75.0,62.967151730037585,,0.7231985076454212,605.2228,AC0,free,pair_a030_both
61899.1317223835,691.6832,-135184.41741006752,-36222.55547246615,10938.092405388943,50.65845312891732,5.082044941854076,35886.0,0.78489,450.6068,23.0,75.0,62.85844520855608,,0.7220531713436211,691.6832,AC0,free,pair_a030_both
61836.27327717494,778.1436,-115825.95506634674,-31035.471121020324,10948.136173862431,50.70928533118458,5.354961734324262,35919.0,0.784955,450.5768,22.0,75.0,62.776794744917424,,0.721005957225331,778.1436,AC0,free,pair_a030_both
