mass,ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel_cost,grid_cost,fuelflow,absolute_ts,aircraft,stage,case
62399.99990217007,0.0,-212132.0343383328,-212132.03433833283,10923.117697889309,49.05492143866137,4.0887190859326505,35837.0,0.764607,439.061,-262.0,45.0,55.320203697818215,,0.6371698524819709,0.0,AC0,free,pair_a090_both
62344.67969847225,86.4604,-198311.18118981752,-198311.1811898176,10807.896279283368,49.183817170120115,4.271328552769485,35459.0,0.791173,455.0985,170.0,45.0,67.29623851118231,,0.7723698240509087,86.4604,AC0,free,pair_a090_both
62277.38345996107,172.9208,-184005.6689887384,-184005.66898873853,10882.550005685547,49.31692807674386,4.461345135127656,35704.0,0.783389,450.119,3.0,45.0,62.706211923105,,0.7206047609064279,172.9208,AC0,free,pair_a090_both
62214.677248037966,259.3812,-169848.81955920064,-169848.8195592008,10883.893514151185,49.448347368566516,4.650399710744502,35708.0,0.785477,451.3098,36.0,45.0,63.566755421423295,,0.730070355834123,259.3812,AC0,free,pair_a090_both
62151.11049261654,345.8416,-155656.0661952962,-155656.0661952964,10899.866261733687,49.57978897030864,4.840952741896763,35761.0,0.784176,450.4544,15.0,45.0,62.89269942352985,,0.7227186445272957,345.8416,AC0,free,pair_a090_both
62088.21779319301,432.302,-141489.18240300435,-141489.18240300458,10906.274465492705,49.710677334082376,5.032183724567467,35782.0,0.785093,450.9383,28.0,45.0,63.20368902772316,,0.7259998649759313,432.302,AC0,free,pair_a090_both
62025.01410416529,518.7624,-127307.69714028374,-127307.697140284,10918.588029790346,49.841383588182254,5.224645566408151,35822.0,0.784625,450.5866,20.0,45.0,62.9152355575643,,0.7227187462481053,518.7624,AC0,free,pair_a090_both
61962.098868607725,605.2228,-113136.88258902973,-113136.88258902996,10927.4345980038,49.97167148620695,5.41800357811005,35851.0,0.784972,450.7259,24.0,45.0,62.96715434570069,,0.7231985076027116,605.2228,AC0,free,pair_a090_both
61899.131714262025,691.6832,-98961.85863311743,-98961.85863311774,10938.092287883164,50.1016748331669,5.612467976364079,35886.0,0.78489,450.6068,23.0,45.0,62.85844629728672,,0.7220531712805878,691.6832,AC0,free,pair_a090_both
61836.27326796474,778.1436,-84790.48018940708,-84790.48018940746,10948.136038332188,50.2313183147342,5.807938983209587,35919.0,0.784955,450.5768,22.0,45.0,62.7767989568747,,0.7210059571538461,778.1436,AC0,free,pair_a090_both
61773.49646900786,864.604,-70619.96859903123,-70619.96859903162,10957.848430376947,50.360624218245114,6.004462368756826,35951.0,0.785107,450.5983,26.0,45.0,62.80003002958256,,0.7213533121582524,864.604,AC0,free,pair_a090_both
61710.69643897828,951.0644,-56448.87703951293,-56448.87703951332,10969.127632271468,50.489602433483896,6.202066142057796,35988.0,0.784898,450.4023,19.0,45.0,62.56718008520693,,0.7185204580009091,951.0644,AC0,free,pair_a090_both
