mass,ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel_cost,grid_cost,fuelflow,absolute_ts,aircraft,stage,case
62399.99990828454,0.0,-259807.62112254687,-149999.99999259296,10923.117697322508,49.59424213097768,3.3943259215477375,35837.0,0.764607,439.061,-262.0,60.0,55.32020464100788,,0.6371698525250232,0.0,AC0,free,pair_a060_both
62344.67970364353,86.4604,-242880.6022677207,-140227.18110018282,10807.896305507438,49.68917279101609,3.6227812243286976,35459.0,0.791173,455.0985,170.0,60.0,67.2962300429499,,0.7723698240927299,86.4604,AC0,free,pair_a060_both
62277.38347360058,172.9208,-225360.00137182893,-130111.6574565774,10882.549994743771,49.78695722215692,3.860187229232221,35704.0,0.783389,450.119,3.0,60.0,62.70622747675225,,0.7206047610112581,172.9208,AC0,free,pair_a060_both
62214.67724612383,259.3812,-208021.47286032233,-120101.25335310877,10883.893814868312,49.88324610753629,4.096069253564753,35708.0,0.785477,451.3097,36.0,60.0,63.56672877366509,,0.7300702647558488,259.3812,AC0,free,pair_a060_both
62151.110517350164,345.8416,-190638.97279280497,-110065.46225994063,10899.866177273925,49.97929692914483,4.333493547088893,35761.0,0.784176,450.4544,15.0,60.0,62.89271412979724,,0.7227186447183571,345.8416,AC0,free,pair_a060_both
62088.21780322037,432.302,-173288.1543575157,-100047.96256566777,10906.274650461393,50.07468757114879,4.57142998634217,35782.0,0.785093,450.9382,28.0,60.0,63.203674319818674,,0.725999774307824,432.302,AC0,free,pair_a060_both
62025.01412890055,518.7624,-155919.4542713824,-90020.13889546665,10918.588018262217,50.16968751315059,4.810559254103238,35822.0,0.784625,450.5866,20.0,60.0,62.91524051837041,,0.7227187464396679,518.7624,AC0,free,pair_a060_both
61962.09888838218,605.2228,-138563.82205239407,-79999.85996187932,10927.434696124876,50.264123672553374,5.050457692520013,35851.0,0.784972,450.7259,24.0,60.0,62.96714857372717,,0.7231985077561065,605.2228,AC0,free,pair_a060_both
61899.13173980845,691.6832,-121203.03497773012,-69976.60487097998,10938.092330201358,50.35809192643331,5.291378513640262,35886.0,0.78489,450.6068,23.0,60.0,62.85844456143241,,0.7220531714788605,691.6832,AC0,free,pair_a060_both
61836.27329524702,778.1436,-103846.71242780669,-59955.927374641426,10948.13608174537,50.451536551615426,5.5331901785692015,35919.0,0.784955,450.5768,22.0,60.0,62.776798988757946,,0.7210059573655971,778.1436,AC0,free,pair_a060_both
61773.49649625826,864.604,-86491.45156741868,-49935.86284504194,10957.848509961395,50.54447246626038,5.775941453327101,35951.0,0.785107,450.5983,26.0,60.0,62.80002181931923,,0.7213533123702421,864.604,AC0,free,pair_a060_both
61710.69647443894,951.0644,-69135.48057858292,-39915.388322592014,10969.127601884313,50.63690551855944,6.0196588188160325,35988.0,0.784898,450.4023,19.0,60.0,62.567187577835284,,0.7185204582761888,951.0644,AC0,free,pair_a060_both
61648.129286861105,1037.5248,-51786.55484976183,-29898.98138290805,10977.56999693964,50.728791016435366,6.264234487458932,36016.0,0.785396,450.6311,33.0,60.0,62.84595298435306,,0.7217589858895477,1037.5248,AC0,free,pair_a060_both
61585.28333387675,1123.9852,-34429.275388760725,-19877.751413701215,10991.987874283082,50.82020677797709,6.509887205503161,36063.0,0.784567,450.058,27.0,60.0,62.58515551814344,,0.7187839379309198,1123.9852,AC0,free,pair_a060_both
61522.69817835861,1210.4456,-17092.81439428476,-9868.540991746788,11004.01614356633,50.910996026617354,6.756204531838079,36102.0,0.784147,449.763,26.0,60.0,62.43910402624897,,0.7174374881965873,1210.4456,AC0,free,pair_a060_both
61460.25907433236,1296.906,233.1764661200454,134.62449548319836,11015.247308778515,51.00121065978423,7.003332263009414,36139.0,0.783614,449.4573,21.0,60.0,62.231398101575905,,0.7149879728937776,1296.906,AC0,free,pair_a060_both
61398.027676230784,1383.3664,17546.947112100446,10130.734638625705,11024.596307579943,51.090838886738034,7.251244819006818,36170.0,0.783663,449.4856,22.0,60.0,62.18775778689451,,0.7144958352951227,1383.3664,AC0,free,pair_a060_both
61335.83991844389,1469.8268,34861.611194735735,20127.360607661416,11034.354231445292,51.17994539715681,7.5001301994366525,36202.0,0.783649,449.4774,22.0,60.0,62.110576499551826,,0.7136956892308761,1469.8268,AC0,free,pair_a060_both
