mass,ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel_cost,grid_cost,fuelflow,absolute_ts,aircraft,stage,case
62399.99990143619,0.0,-77645.71346982282,-289777.74779959494,10923.253783958597,48.38904908703753,5.948805498699577,35837.0,0.764548,439.0263,-0.0,15.0,61.390221014204144,,0.7104291608893045,0.0,AC0,free,pair_a150_horizontal
62338.609680421985,86.2788,-72602.1931586132,-270955.073740043,10923.253783642507,48.55892541959726,6.013750768529864,35837.0,0.768414,441.246,-0.0,15.0,61.53796893654362,,0.7116698929117077,86.2788,AC0,free,pair_a150_horizontal
62277.07171148544,172.5575,-67533.17333845944,-252037.23421749752,10923.25378338797,48.72962357845305,6.079465345717259,35837.0,0.77188,443.2365,-0.0,15.0,61.67965565814666,,0.7127902499329286,172.5575,AC0,free,pair_a150_horizontal
62215.392055827295,258.8363,-62441.28671430887,-233034.05462058765,10923.253783184708,48.90105389553414,6.145927048915357,35837.0,0.775048,445.0554,-0.0,15.0,61.817775433461065,,0.7138204032507124,258.8363,AC0,free,pair_a150_horizontal
62153.574280393834,345.115,-57328.504364828026,-213952.8911150468,10923.253783021064,49.073149025549945,6.213121759991127,35837.0,0.777981,446.7397,-0.0,15.0,61.95391009034938,,0.7147797650813872,345.115,AC0,free,pair_a150_horizontal
62091.620370303484,431.3938,-52196.373122018646,-194799.51655649842,10923.253782885184,49.24585593567124,6.281040544342699,35837.0,0.780724,448.3147,-0.0,15.0,62.089134750145604,,0.7156815800094051,431.3938,AC0,free,pair_a150_horizontal
62029.53123555334,517.6726,-47046.148460801196,-175578.61644113605,10923.25378276575,49.41913142027679,6.349678049739519,35837.0,0.783308,449.7987,-0.0,15.0,62.224218133334944,,0.7165354419028434,517.6726,AC0,free,pair_a150_horizontal
61967.307017420004,603.9513,-41878.87551067573,-156294.0912453558,10923.253782652346,49.59293936607327,6.419031537245861,35837.0,0.785758,451.2055,-0.0,15.0,62.35973159077548,,0.7173486182946744,603.9513,AC0,free,pair_a150_horizontal
61904.94728582923,690.2301,-36695.44165440255,-136949.2527267069,10923.253782535567,49.76724897599506,6.48910025689942,35837.0,0.788092,452.5455,-0.0,15.0,62.49610299014603,,0.7181264823482284,690.2301,AC0,free,pair_a150_horizontal
61842.45118283908,776.5088,-31496.613211154432,-117546.96082727815,10923.253782407055,49.94203353033952,6.559885014416338,35837.0,0.788216,452.617,-0.0,15.0,62.462675287264574,,0.7177201316149665,776.5088,AC0,free,pair_a150_horizontal
61779.98850755182,862.7876,-26296.963356309887,-98141.6033780362,10923.25378226487,50.11680230083985,6.6311965089178795,35837.0,0.788181,452.5967,-0.0,15.0,62.41666448423348,,0.7172277365071525,862.7876,AC0,free,pair_a150_horizontal
61717.571843067584,949.0664,-21097.54679201304,-78737.11658097156,10923.25378210904,50.29151924117133,6.703027225509681,35837.0,0.788145,452.5763,-0.0,15.0,62.37072053664451,,0.7167359486435311,949.0664,AC0,free,pair_a150_horizontal
61655.20112253094,1035.3451,-15898.364513273607,-59333.50414951105,10923.253781939724,50.466183725027165,6.775384057313885,35837.0,0.78811,452.5559,-0.0,15.0,62.32484347117861,,0.716244861593201,1035.3451,AC0,free,pair_a150_horizontal
61592.87627905976,1121.6239,-10699.417501179343,-39930.76974512407,10923.2537817571,50.64079511639158,6.8482740130211095,35837.0,0.788074,452.5353,-0.0,15.0,62.27903312633862,,0.7157542834594128,1121.6239,AC0,free,pair_a150_horizontal
61530.59724593342,1207.9026,-5500.706738575746,-20528.91703583999,10923.253781561352,50.81535276879392,6.92170421907287,35837.0,0.788038,452.5147,-0.0,15.0,62.23328931099968,,0.715264403232115,1207.9026,AC0,free,pair_a150_horizontal
61468.36395662242,1294.1814,-302.23321256346213,-1127.94970556851,10923.253781352685,50.98985602500059,6.995681922080752,35837.0,0.788002,452.4939,-0.0,15.0,62.18761182574235,,0.7147750282494653,1294.1814,AC0,free,pair_a150_horizontal
61406.17634479668,1380.4602,4896.002084773394,18272.128543182025,10923.253781131314,51.16430421676047,7.070214491329188,35837.0,0.787965,452.4731,-0.0,15.0,62.14200046798942,,0.7142863482830789,1380.4602,AC0,free,pair_a150_horizontal
61344.03434432869,1466.7389,10093.99815606886,37671.31398819116,10923.253780897461,51.33869666455931,7.145309421345366,35837.0,0.787929,452.4522,-0.0,15.0,62.09645503361389,,0.7137982660939434,1466.7389,AC0,free,pair_a150_horizontal
61281.93788929508,1553.0177,15291.753998517452,57069.602886937915,10923.253780651357,51.51303267737245,7.220974334534037,35837.0,0.787892,452.4312,-0.0,15.0,62.050975317673874,,0.7133107800550992,1553.0177,AC0,free,pair_a150_horizontal
61219.8869139774,1639.2964,20489.2686037718,76466.99147621862,10923.253780393228,51.687311552413384,7.297216983877821,35837.0,0.787856,452.4101,-0.0,15.0,62.00556111490005,,0.7128238885442609,1639.2964,AC0,free,pair_a150_horizontal
61157.8813528625,1725.5752,25686.54095786491,95863.47597185693,10923.253780123334,51.861532574876655,7.374045255704407,35837.0,0.787819,452.3889,-0.0,15.0,61.960212219339155,,0.7123375899438075,1725.5752,AC0,free,pair_a150_horizontal
61095.921140643164,1811.854,30883.570041144416,115259.05256845847,10923.25377984191,52.03569501767468,7.451467172522316,35837.0,0.787782,452.3677,-0.0,15.0,61.91492842500156,,0.711851979588659,1811.854,AC0,free,pair_a150_horizontal
61034.00621221816,1898.1327,36080.35482821306,134653.7174391886,10923.253779549214,52.20979814116774,7.529490895927068,35837.0,0.787745,452.3463,-0.0,15.0,61.86970952554839,,0.7113668621646031,1898.1327,AC0,free,pair_a150_horizontal
60972.136502692614,1984.4115,41276.89428787236,154047.46673556205,10923.253779245488,52.38384119288733,7.608124729579704,35837.0,0.787707,452.3248,-0.0,15.0,61.8245553144443,,0.7108823328256002,1984.4115,AC0,free,pair_a150_horizontal
60910.31194737817,2070.6902,46473.18738306817,173440.2965872401,10923.253778930992,52.55782340725229,7.687377122259637,35837.0,0.78767,452.3033,-0.0,15.0,61.77946558485564,,0.71039848748894,2070.6902,AC0,free,pair_a150_horizontal
60848.532481793314,2156.969,51669.233070837196,192832.2031018307,10923.253778605973,52.73174400527743,7.767256670993947,35837.0,0.787632,452.2817,-0.0,15.0,61.73444012981054,,0.7099152274212828,2156.969,AC0,free,pair_a150_horizontal
60786.798041663504,2243.2477,56865.030302254156,212223.18236469137,10923.253778270686,52.90560219427463,7.847772124265263,35837.0,0.787594,452.26,-0.0,15.0,61.68947874202422,,0.7094325510316447,2243.2477,AC0,free,pair_a150_horizontal
60725.10856292148,2329.5265,62060.578022379304,231613.23043873368,10923.25377792537,53.079397167546105,7.928932385300454,35837.0,0.787556,452.2382,-0.0,15.0,61.64458121426287,,0.7089504567336647,2329.5265,AC0,free,pair_a150_horizontal
60663.46398170722,2415.8053,67255.87517020688,251002.34336423015,10923.253777570268,53.2531281040695,8.010746515442435,35837.0,0.787518,452.2163,-0.0,15.0,61.599747338746965,,0.7084689429455937,2415.8053,AC0,free,pair_a150_horizontal
60601.86423436847,2502.084,72450.92067861503,270390.5171586276,10923.253777205633,53.42679416817462,8.093223737607445,35837.0,0.78748,452.1943,-0.0,15.0,61.55497685463342,,0.7079880080902915,2502.084,AC0,free,pair_a150_horizontal
60540.309257513836,2588.3628,77645.71346982296,289777.74779959343,10923.253776831709,53.60039450906158,8.17637343975806,35837.0,0.78748,452.1943,-0.0,15.0,,,0.707529453261526,2588.3628,AC0,free,pair_a150_horizontal
62399.99990143619,0.0,-77645.71346982346,289777.7477995933,10923.253783958597,53.60039450906158,5.8236265602419355,35837.0,0.764548,439.0263,-0.0,165.0,61.39022101401497,,0.7104291608893045,0.0,AC1,free,pair_a150_horizontal
62338.609680422174,86.2788,-72602.1931586299,270955.07374010154,10923.253783642507,53.43185022755936,5.90436455041552,35837.0,0.768414,441.246,-0.0,165.0,61.537968936318066,,0.711669892911709,86.2788,AC1,free,pair_a150_horizontal
62277.071711485856,172.5575,-67533.17333849237,252037.23421761676,10923.253783387972,53.262399385479526,5.984867998284293,35837.0,0.77188,443.2365,-0.0,165.0,61.6796556579211,,0.7127902499329318,172.5575,AC1,free,pair_a150_horizontal
62215.392055827935,258.8363,-62441.28671435817,233034.05462076815,10923.253783184708,53.09212998029064,6.065094764296604,35837.0,0.775048,445.0554,-0.0,165.0,61.817775433228235,,0.7138204032507175,258.8363,AC1,free,pair_a150_horizontal
